analysis	trait	sign_directional_p	weighted_directional_p	sign_lower_tail_p	weighted_lower_tail_p	sign_observed_statistic	weighted_observed_statistic
afr	ea4	0.59189408	0.59672403	0.40811592	0.40328597	3.38353138	3.67077232
afr	iq	0.033379666	0.024769752	0.96663033	0.97524025	15.09459600	18.82897641
eas	ea4	0.033669663	0.033479665	0.96634034	0.96653033	24.50449842	21.37578620
eas	iq	0.15653843	0.19067809	0.84347157	0.80933191	14.01921273	11.51569682
joint_non_eur	ea4	0.010149899	0.012089879	0.9898601	0.98792012	82.05301579	62.68083346
joint_non_eur	iq	0.032399676	0.017859821	0.96761032	0.98215018	63.25454097	57.95422363
sam	ea4	0.0030099699	0.0059799402	0.99700003	0.99403006	47.41957845	32.06376330
sam	iq	0.040139599	0.031559684	0.9598704	0.96845032	25.05965247	19.84850656
sas	ea4	0.16272837	0.28761712	0.83728163	0.71239288	6.74345812	5.57142432
sas	iq	0.084819152	0.15780842	0.91519085	0.84220158	9.07224862	7.76005163
